Comment,Designator,Footprint,LCSC
R_Pack04,RA202,R_Array_Convex_4x0612,C102645
3k3,R26,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C104228
4k7,R27,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C104344
1k0,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R28,R29,R3,R30,R31,R4,R41,R42,R5,R6,R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
LED,"LED1,LED2,LED3,LED4,LED5,LED6",LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C205448
100nF,"C309,C310",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
680,"R32,R33,R34,R35,R36,R37",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25130
4k7,"R1,R38,R39,R40",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2906869
15R,R202,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C2907229
10k0,"R43,R44,R45,R46",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C3016734
FerriteBead_Small,R209,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C304328
100nF,"C1,C10,C2,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C220,C230,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
AP1117-ADJ,VR100,TO-252-2,C347249
33MHz,Q203,Oscillator_SMD_Fordahl_DFAS15-4Pin_5.0x3.2mm,C387073
10uF Tantalum,"C11,C12",C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C4988312
2k0,R300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C844428
100uF,C303,CP_Radial_D6.3mm_P2.50mm,
100uF,C308,CP_Radial_D6.3mm_P2.50mm,
100uF,C311,CP_Radial_D6.3mm_P2.50mm,
100uF,C305,CP_Radial_D6.3mm_P2.50mm,
100uF,C307,CP_Radial_D6.3mm_P2.50mm,
100uF,C300,CP_Radial_D6.3mm_P2.50mm,
100uF,C302,CP_Radial_D6.3mm_P2.50mm,
100uF,C304,CP_Radial_D6.3mm_P2.50mm,
100uF,C306,CP_Radial_D6.3mm_P2.50mm,
XC95144XL-TQ144,IC201H1,TQFP-144_20x20mm_P0.5mm,
100uF,C301,CP_Radial_D6.3mm_P2.50mm,
XC95144XL-TQ144,IC200L1,TQFP-144_20x20mm_P0.5mm,
