Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-103.9368,20.8788,-90.0,top
C2,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-117.4496,38.8112,180.0,top
C3,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-93.3196,44.5516,0.0,top
C4,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-90.932,31.4452,45.0,top
C5,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-90.9828,24.892,0.0,top
C6,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-113.1824,20.066,-90.0,top
C7,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-111.76,46.99,90.0,top
C8,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-104.2416,46.9392,90.0,top
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-110.4392,20.828,-90.0,top
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-114.1984,45.9232,90.0,top
C11,10uF Tantalum,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-16.6116,-11.6332,180.0,top
C12,10uF Tantalum,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,5.4479,-13.5636,0.0,top
C200,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-116.84,14.0716,180.0,top
C201,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-104.5464,16.8148,90.0,top
C202,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-117.495283,9.189683,135.0,top
C203,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-92.9132,14.3764,0.0,top
C204,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-111.506,16.8148,90.0,top
C205,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-90.5256,1.2192,45.0,top
C206,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-115.824,-7.112,180.0,top
C207,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-90.8812,-5.3848,0.0,top
C208,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-110.49,-9.6012,-90.0,top
C209,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-103.2256,-9.7028,-45.0,top
C220,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-136.0424,-17.0688,0.0,top
C230,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,-136.144,18.6436,180.0,top
C300,100uF,CP_Radial_D6.3mm_P2.50mm,8.761278,44.988643,-90.0,top
C301,100uF,CP_Radial_D6.3mm_P2.50mm,8.6868,55.114821,-90.0,top
C302,100uF,CP_Radial_D6.3mm_P2.50mm,8.699502,35.150421,-90.0,top
C303,100uF,CP_Radial_D6.3mm_P2.50mm,8.5729,4.477021,-90.0,top
C304,100uF,CP_Radial_D6.3mm_P2.50mm,2.1844,14.451931,0.0,top
C305,100uF,CP_Radial_D6.3mm_P2.50mm,8.7884,65.512821,-90.0,top
C306,100uF,CP_Radial_D6.3mm_P2.50mm,-14.941691,54.38038,-90.0,top
C307,100uF,CP_Radial_D6.3mm_P2.50mm,8.829751,25.555179,-90.0,top
C308,100uF,CP_Radial_D6.3mm_P2.50mm,-150.8252,29.816421,-90.0,top
C309,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-153.6192,55.3843,90.0,top
C310,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,-121.9708,61.8236,90.0,top
C311,100uF,CP_Radial_D6.3mm_P2.50mm,-117.4496,57.085221,-90.0,top
IC200L1,XC95144XL-TQ144,TQFP-144_20x20mm_P0.5mm,-104.2361,3.6244,270.0,top
IC201H1,XC95144XL-TQ144,TQFP-144_20x20mm_P0.5mm,-104.2416,33.8328,270.0,top
LED1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-116.84,43.0784,90.0,top
LED2,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-118.4632,43.0784,90.0,top
